,region,type,posting_date,count
61014,wausau,SUV,2021-04-04 00:00:00+00:00,1
11149,colorado springs,SUV,2021-04-04 00:00:00+00:00,7
37782,moses lake,truck,2021-04-04 00:00:00+00:00,6
51303,shreveport,sedan,2021-04-04 00:00:00+00:00,3
11205,colorado springs,coupe,2021-04-04 00:00:00+00:00,3
37751,moses lake,sedan,2021-04-04 00:00:00+00:00,2
11233,colorado springs,hatchback,2021-04-04 00:00:00+00:00,3
11303,colorado springs,pickup,2021-04-04 00:00:00+00:00,8
1851,annapolis,SUV,2021-04-04 00:00:00+00:00,1
37687,moses lake,coupe,2021-04-04 00:00:00+00:00,3
11334,colorado springs,sedan,2021-04-04 00:00:00+00:00,14
45831,reading,other,2021-04-04 00:00:00+00:00,1
60952,watertown,sedan,2021-04-04 00:00:00+00:00,2
37649,moses lake,SUV,2021-04-04 00:00:00+00:00,5
11365,colorado springs,truck,2021-04-04 00:00:00+00:00,2
51348,sierra vista,SUV,2021-04-04 00:00:00+00:00,1
11396,colorado springs,van,2021-04-04 00:00:00+00:00,1
1833,ann arbor,wagon,2021-04-04 00:00:00+00:00,1
37598,morgantown,sedan,2021-04-04 00:00:00+00:00,2
60929,watertown,pickup,2021-04-04 00:00:00+00:00,1
51365,sierra vista,convertible,2021-04-04 00:00:00+00:00,1
11807,columbia / jeff city,other,2021-04-04 00:00:00+00:00,3
51444,sierra vista,sedan,2021-04-04 00:00:00+00:00,1
37297,monterey bay,truck,2021-04-04 00:00:00+00:00,2
60573,waco,van,2021-04-04 00:00:00+00:00,1
36929,monroe,SUV,2021-04-04 00:00:00+00:00,1
12347,corpus christi,SUV,2021-04-04 00:00:00+00:00,1
1711,ann arbor,other,2021-04-04 00:00:00+00:00,2
45929,reading,wagon,2021-04-04 00:00:00+00:00,1
51583,sioux city,truck,2021-04-04 00:00:00+00:00,2
12379,corpus christi,convertible,2021-04-04 00:00:00+00:00,2
12393,corpus christi,coupe,2021-04-04 00:00:00+00:00,2
36869,mohave county,sedan,2021-04-04 00:00:00+00:00,2
12422,corpus christi,hatchback,2021-04-04 00:00:00+00:00,2
12442,corpus christi,other,2021-04-04 00:00:00+00:00,1
45938,redding,SUV,2021-04-04 00:00:00+00:00,8
36845,mohave county,pickup,2021-04-04 00:00:00+00:00,1
60544,waco,truck,2021-04-04 00:00:00+00:00,1
36810,mohave county,coupe,2021-04-04 00:00:00+00:00,1
51605,sioux city,van,2021-04-04 00:00:00+00:00,1
12490,corpus christi,sedan,2021-04-04 00:00:00+00:00,3
60513,waco,sedan,2021-04-04 00:00:00+00:00,4
12555,corpus christi,wagon,2021-04-04 00:00:00+00:00,2
1683,ann arbor,hatchback,2021-04-04 00:00:00+00:00,3
36770,mohave county,SUV,2021-04-04 00:00:00+00:00,1
51617,sioux city,wagon,2021-04-04 00:00:00+00:00,1
12571,corvallis/albany,SUV,2021-04-04 00:00:00+00:00,1
60471,waco,other,2021-04-04 00:00:00+00:00,3
60467,waco,mini-van,2021-04-04 00:00:00+00:00,1
12314,cookeville,sedan,2021-04-04 00:00:00+00:00,1
36980,monroe,hatchback,2021-04-04 00:00:00+00:00,2
12257,cookeville,SUV,2021-04-04 00:00:00+00:00,3
45923,reading,van,2021-04-04 00:00:00+00:00,1
60787,waterloo / cedar falls,sedan,2021-04-04 00:00:00+00:00,1
11858,columbia / jeff city,sedan,2021-04-04 00:00:00+00:00,5
37266,monterey bay,sedan,2021-04-04 00:00:00+00:00,12
60769,waterloo / cedar falls,pickup,2021-04-04 00:00:00+00:00,2
11922,columbia / jeff city,wagon,2021-04-04 00:00:00+00:00,1
11936,columbus,SUV,2021-04-04 00:00:00+00:00,3
37211,monterey bay,other,2021-04-04 00:00:00+00:00,1
11971,columbus,convertible,2021-04-04 00:00:00+00:00,1
51479,sioux city,SUV,2021-04-04 00:00:00+00:00,4
1756,ann arbor,sedan,2021-04-04 00:00:00+00:00,4
37194,monterey bay,mini-van,2021-04-04 00:00:00+00:00,1
11994,columbus,coupe,2021-04-04 00:00:00+00:00,1
59638,ventura county,pickup,2021-04-04 00:00:00+00:00,1
12025,columbus,hatchback,2021-04-04 00:00:00+00:00,1
12078,columbus,other,2021-04-04 00:00:00+00:00,3
37095,monterey bay,SUV,2021-04-04 00:00:00+00:00,2
12137,columbus,sedan,2021-04-04 00:00:00+00:00,4
37088,monroe,wagon,2021-04-04 00:00:00+00:00,1
51514,sioux city,coupe,2021-04-04 00:00:00+00:00,1
60692,waterloo / cedar falls,SUV,2021-04-04 00:00:00+00:00,3
1735,ann arbor,pickup,2021-04-04 00:00:00+00:00,2
12169,columbus,truck,2021-04-04 00:00:00+00:00,1
12199,columbus,van,2021-04-04 00:00:00+00:00,1
64451,youngstown,other,2021-04-04 00:00:00+00:00,1
12227,columbus,wagon,2021-04-04 00:00:00+00:00,1
47803,rockford,van,2021-04-04 00:00:00+00:00,1
37170,monterey bay,hatchback,2021-04-04 00:00:00+00:00,5
46144,redding,sedan,2021-04-04 00:00:00+00:00,12
52271,south coast,convertible,2021-04-04 00:00:00+00:00,1
14677,dubuque,sedan,2021-04-04 00:00:00+00:00,7
33300,lynchburg,van,2021-04-04 00:00:00+00:00,1
52934,southeast IA,truck,2021-04-04 00:00:00+00:00,1
58846,tyler / east TX,SUV,2021-04-04 00:00:00+00:00,7
58842,twin tiers NY/PA,wagon,2021-04-04 00:00:00+00:00,1
33257,lynchburg,sedan,2021-04-04 00:00:00+00:00,3
52962,southeast KS,convertible,2021-04-04 00:00:00+00:00,1
33194,lynchburg,hatchback,2021-04-04 00:00:00+00:00,1
33178,lynchburg,coupe,2021-04-04 00:00:00+00:00,1
58791,twin tiers NY/PA,hatchback,2021-04-04 00:00:00+00:00,2
33145,lynchburg,SUV,2021-04-04 00:00:00+00:00,5
33115,lubbock,truck,2021-04-04 00:00:00+00:00,3
46460,rhode island,convertible,2021-04-04 00:00:00+00:00,2
17246,evansville,SUV,2021-04-04 00:00:00+00:00,2
58766,twin tiers NY/PA,SUV,2021-04-04 00:00:00+00:00,1
17282,evansville,coupe,2021-04-04 00:00:00+00:00,2
17303,evansville,hatchback,2021-04-04 00:00:00+00:00,1
53032,southeast alaska,other,2021-04-04 00:00:00+00:00,1
17356,evansville,sedan,2021-04-04 00:00:00+00:00,9
33003,lubbock,SUV,2021-04-04 00:00:00+00:00,1
53040,southeast alaska,sedan,2021-04-04 00:00:00+00:00,1
32980,louisville,wagon,2021-04-04 00:00:00+00:00,1
17396,evansville,van,2021-04-04 00:00:00+00:00,1
17403,evansville,wagon,2021-04-04 00:00:00+00:00,1
32958,louisville,van,2021-04-04 00:00:00+00:00,2
58704,twin falls,truck,2021-04-04 00:00:00+00:00,3
33316,macon / warner robins,SUV,2021-04-04 00:00:00+00:00,4
1055,altoona-johnstown,wagon,2021-04-04 00:00:00+00:00,1
58887,tyler / east TX,coupe,2021-04-04 00:00:00+00:00,1
16976,erie,sedan,2021-04-04 00:00:00+00:00,3
59017,tyler / east TX,truck,2021-04-04 00:00:00+00:00,1
47636,rockford,coupe,2021-04-04 00:00:00+00:00,3
33611,madison,hatchback,2021-04-04 00:00:00+00:00,3
58986,tyler / east TX,sedan,2021-04-04 00:00:00+00:00,2
16674,elmira-corning,SUV,2021-04-04 00:00:00+00:00,1
33581,madison,coupe,2021-04-04 00:00:00+00:00,4
16715,elmira-corning,hatchback,2021-04-04 00:00:00+00:00,2
1150,amarillo,sedan,2021-04-04 00:00:00+00:00,2
64634,yuba-sutter,hatchback,2021-04-04 00:00:00+00:00,3
33523,madison,SUV,2021-04-04 00:00:00+00:00,3
33512,macon / warner robins,wagon,2021-04-04 00:00:00+00:00,1
33502,macon / warner robins,van,2021-04-04 00:00:00+00:00,1
46425,rhode island,SUV,2021-04-04 00:00:00+00:00,10
16813,elmira-corning,wagon,2021-04-04 00:00:00+00:00,1
58936,tyler / east TX,other,2021-04-04 00:00:00+00:00,1
16823,erie,SUV,2021-04-04 00:00:00+00:00,3
16861,erie,coupe,2021-04-04 00:00:00+00:00,1
33455,macon / warner robins,sedan,2021-04-04 00:00:00+00:00,4
16882,erie,hatchback,2021-04-04 00:00:00+00:00,1
33430,macon / warner robins,pickup,2021-04-04 00:00:00+00:00,2
58911,tyler / east TX,hatchback,2021-04-04 00:00:00+00:00,3
16921,erie,other,2021-04-04 00:00:00+00:00,1
33408,macon / warner robins,other,2021-04-04 00:00:00+00:00,1
52909,southeast IA,sedan,2021-04-04 00:00:00+00:00,2
33394,macon / warner robins,mini-van,2021-04-04 00:00:00+00:00,2
33378,macon / warner robins,hatchback,2021-04-04 00:00:00+00:00,2
17491,fairbanks,sedan,2021-04-04 00:00:00+00:00,2
32898,louisville,sedan,2021-04-04 00:00:00+00:00,4
53075,southeast missouri,SUV,2021-04-04 00:00:00+00:00,2
32421,logan,SUV,2021-04-04 00:00:00+00:00,4
18043,fayetteville,van,2021-04-04 00:00:00+00:00,1
46544,rhode island,mini-van,2021-04-04 00:00:00+00:00,1
53301,southern illinois,other,2021-04-04 00:00:00+00:00,1
58503,tuscarawas co,hatchback,2021-04-04 00:00:00+00:00,1
18087,finger lakes,SUV,2021-04-04 00:00:00+00:00,4
18134,finger lakes,hatchback,2021-04-04 00:00:00+00:00,1
32340,little rock,sedan,2021-04-04 00:00:00+00:00,5
53322,southern illinois,pickup,2021-04-04 00:00:00+00:00,2
18149,finger lakes,other,2021-04-04 00:00:00+00:00,1
965,altoona-johnstown,hatchback,2021-04-04 00:00:00+00:00,1
18187,finger lakes,sedan,2021-04-04 00:00:00+00:00,2
32289,little rock,other,2021-04-04 00:00:00+00:00,1
18248,flagstaff / sedona,SUV,2021-04-04 00:00:00+00:00,3
32249,little rock,hatchback,2021-04-04 00:00:00+00:00,1
53346,southern illinois,sedan,2021-04-04 00:00:00+00:00,5
18277,flagstaff / sedona,convertible,2021-04-04 00:00:00+00:00,1
18290,flagstaff / sedona,coupe,2021-04-04 00:00:00+00:00,1
32224,little rock,coupe,2021-04-04 00:00:00+00:00,1
18315,flagstaff / sedona,hatchback,2021-04-04 00:00:00+00:00,1
58410,tuscaloosa,hatchback,2021-04-04 00:00:00+00:00,2
46563,rhode island,other,2021-04-04 00:00:00+00:00,1
18351,flagstaff / sedona,other,2021-04-04 00:00:00+00:00,4
32167,little rock,SUV,2021-04-04 00:00:00+00:00,4
58402,tuscaloosa,coupe,2021-04-04 00:00:00+00:00,1
32455,logan,truck,2021-04-04 00:00:00+00:00,9
17983,fayetteville,sedan,2021-04-04 00:00:00+00:00,5
53275,southern illinois,hatchback,2021-04-04 00:00:00+00:00,1
17953,fayetteville,pickup,2021-04-04 00:00:00+00:00,1
17558,fargo / moorhead,SUV,2021-04-04 00:00:00+00:00,1
46486,rhode island,coupe,2021-04-04 00:00:00+00:00,3
58673,twin falls,sedan,2021-04-04 00:00:00+00:00,4
32845,louisville,other,2021-04-04 00:00:00+00:00,2
32802,louisville,hatchback,2021-04-04 00:00:00+00:00,1
53095,southeast missouri,convertible,2021-04-04 00:00:00+00:00,1
17653,fargo / moorhead,sedan,2021-04-04 00:00:00+00:00,6
17684,fargo / moorhead,truck,2021-04-04 00:00:00+00:00,1
32771,louisville,coupe,2021-04-04 00:00:00+00:00,3
58630,twin falls,mini-van,2021-04-04 00:00:00+00:00,1
58607,twin falls,hatchback,2021-04-04 00:00:00+00:00,1
32719,louisville,SUV,2021-04-04 00:00:00+00:00,9
16579,el paso,van,2021-04-04 00:00:00+00:00,1
53117,southeast missouri,pickup,2021-04-04 00:00:00+00:00,2
1015,altoona-johnstown,sedan,2021-04-04 00:00:00+00:00,3
17805,fayetteville,SUV,2021-04-04 00:00:00+00:00,4
47585,rockford,SUV,2021-04-04 00:00:00+00:00,5
46515,rhode island,hatchback,2021-04-04 00:00:00+00:00,2
53182,southeast missouri,wagon,2021-04-04 00:00:00+00:00,1
53217,southern illinois,SUV,2021-04-04 00:00:00+00:00,4
58564,tuscarawas co,wagon,2021-04-04 00:00:00+00:00,1
17910,fayetteville,mini-van,2021-04-04 00:00:00+00:00,1
17924,fayetteville,other,2021-04-04 00:00:00+00:00,2
53245,southern illinois,convertible,2021-04-04 00:00:00+00:00,1
53254,southern illinois,coupe,2021-04-04 00:00:00+00:00,1
58544,tuscarawas co,sedan,2021-04-04 00:00:00+00:00,2
53135,southeast missouri,sedan,2021-04-04 00:00:00+00:00,4
11055,college station,hatchback,2021-04-04 00:00:00+00:00,1
33676,madison,pickup,2021-04-04 00:00:00+00:00,1
33706,madison,sedan,2021-04-04 00:00:00+00:00,11
34775,mcallen / edinburg,hatchback,2021-04-04 00:00:00+00:00,1
46175,redding,truck,2021-04-04 00:00:00+00:00,15
15171,east oregon,pickup,2021-04-04 00:00:00+00:00,1
15190,east oregon,sedan,2021-04-04 00:00:00+00:00,1
15219,east oregon,truck,2021-04-04 00:00:00+00:00,5
34692,mattoon-charleston,sedan,2021-04-04 00:00:00+00:00,2
15288,eastern CT,SUV,2021-04-04 00:00:00+00:00,1
59430,valdosta,sedan,2021-04-04 00:00:00+00:00,2
15316,eastern CT,convertible,2021-04-04 00:00:00+00:00,1
34652,mattoon-charleston,hatchback,2021-04-04 00:00:00+00:00,1
1325,anchorage / mat-su,SUV,2021-04-04 00:00:00+00:00,4
34619,mattoon-charleston,SUV,2021-04-04 00:00:00+00:00,1
59408,valdosta,pickup,2021-04-04 00:00:00+00:00,2
15378,eastern CT,other,2021-04-04 00:00:00+00:00,1
34569,mason city,sedan,2021-04-04 00:00:00+00:00,2
59393,valdosta,other,2021-04-04 00:00:00+00:00,1
15423,eastern CT,sedan,2021-04-04 00:00:00+00:00,2
59384,valdosta,hatchback,2021-04-04 00:00:00+00:00,1
15454,eastern CT,truck,2021-04-04 00:00:00+00:00,2
34538,mason city,other,2021-04-04 00:00:00+00:00,1
46205,redding,van,2021-04-04 00:00:00+00:00,1
15490,eastern NC,SUV,2021-04-04 00:00:00+00:00,3
34491,mason city,SUV,2021-04-04 00:00:00+00:00,1
15533,eastern NC,coupe,2021-04-04 00:00:00+00:00,1
34485,mansfield,wagon,2021-04-04 00:00:00+00:00,1
15166,east oregon,offroad,2021-04-04 00:00:00+00:00,1
59354,valdosta,SUV,2021-04-04 00:00:00+00:00,1
59473,ventura county,SUV,2021-04-04 00:00:00+00:00,9
34802,mcallen / edinburg,other,2021-04-04 00:00:00+00:00,2
35103,medford-ashland,hatchback,2021-04-04 00:00:00+00:00,1
52285,south coast,coupe,2021-04-04 00:00:00+00:00,1
59609,ventura county,other,2021-04-04 00:00:00+00:00,1
14762,duluth / superior,coupe,2021-04-04 00:00:00+00:00,1
14800,duluth / superior,pickup,2021-04-04 00:00:00+00:00,1
35028,medford-ashland,SUV,2021-04-04 00:00:00+00:00,2
35024,meadville,wagon,2021-04-04 00:00:00+00:00,1
14827,duluth / superior,sedan,2021-04-04 00:00:00+00:00,9
35001,meadville,sedan,2021-04-04 00:00:00+00:00,2
52311,south coast,hatchback,2021-04-04 00:00:00+00:00,3
59561,ventura county,hatchback,2021-04-04 00:00:00+00:00,5
14899,east idaho,SUV,2021-04-04 00:00:00+00:00,1
34958,meadville,hatchback,2021-04-04 00:00:00+00:00,1
34930,meadville,SUV,2021-04-04 00:00:00+00:00,1
59531,ventura county,coupe,2021-04-04 00:00:00+00:00,1
64565,yuba-sutter,SUV,2021-04-04 00:00:00+00:00,4
15027,east idaho,sedan,2021-04-04 00:00:00+00:00,1
59506,ventura county,convertible,2021-04-04 00:00:00+00:00,4
15057,east idaho,truck,2021-04-04 00:00:00+00:00,3
34852,mcallen / edinburg,sedan,2021-04-04 00:00:00+00:00,5
15088,east idaho,van,2021-04-04 00:00:00+00:00,1
34826,mcallen / edinburg,pickup,2021-04-04 00:00:00+00:00,1
52371,south coast,sedan,2021-04-04 00:00:00+00:00,4
1356,anchorage / mat-su,convertible,2021-04-04 00:00:00+00:00,2
15108,east oregon,SUV,2021-04-04 00:00:00+00:00,3
15149,east oregon,coupe,2021-04-04 00:00:00+00:00,1
15553,eastern NC,hatchback,2021-04-04 00:00:00+00:00,1
15578,eastern NC,other,2021-04-04 00:00:00+00:00,1
34444,mansfield,sedan,2021-04-04 00:00:00+00:00,1
34072,manhattan,hatchback,2021-04-04 00:00:00+00:00,2
59169,utica-rome-oneida,SUV,2021-04-04 00:00:00+00:00,5
34057,manhattan,coupe,2021-04-04 00:00:00+00:00,2
34050,manhattan,convertible,2021-04-04 00:00:00+00:00,1
16131,eau claire,SUV,2021-04-04 00:00:00+00:00,2
34029,manhattan,SUV,2021-04-04 00:00:00+00:00,1
16161,eau claire,convertible,2021-04-04 00:00:00+00:00,1
16168,eau claire,coupe,2021-04-04 00:00:00+00:00,3
1210,ames,SUV,2021-04-04 00:00:00+00:00,2
16190,eau claire,hatchback,2021-04-04 00:00:00+00:00,2
16221,eau claire,other,2021-04-04 00:00:00+00:00,1
59117,upper peninsula,sedan,2021-04-04 00:00:00+00:00,1
16273,eau claire,sedan,2021-04-04 00:00:00+00:00,10
16331,eau claire,van,2021-04-04 00:00:00+00:00,1
16344,el paso,SUV,2021-04-04 00:00:00+00:00,5
16376,el paso,bus,2021-04-04 00:00:00+00:00,1
16378,el paso,convertible,2021-04-04 00:00:00+00:00,1
16392,el paso,coupe,2021-04-04 00:00:00+00:00,4
33768,madison,van,2021-04-04 00:00:00+00:00,2
47663,rockford,hatchback,2021-04-04 00:00:00+00:00,2
16423,el paso,hatchback,2021-04-04 00:00:00+00:00,3
16451,el paso,mini-van,2021-04-04 00:00:00+00:00,2
59059,upper peninsula,SUV,2021-04-04 00:00:00+00:00,3
16468,el paso,other,2021-04-04 00:00:00+00:00,1
59049,tyler / east TX,wagon,2021-04-04 00:00:00+00:00,1
16080,eastern shore,sedan,2021-04-04 00:00:00+00:00,1
16037,eastern shore,other,2021-04-04 00:00:00+00:00,2
16016,eastern shore,hatchback,2021-04-04 00:00:00+00:00,1
34124,manhattan,sedan,2021-04-04 00:00:00+00:00,1
34403,mansfield,other,2021-04-04 00:00:00+00:00,1
15631,eastern NC,sedan,2021-04-04 00:00:00+00:00,4
46226,redding,wagon,2021-04-04 00:00:00+00:00,1
15662,eastern NC,truck,2021-04-04 00:00:00+00:00,2
34336,mansfield,SUV,2021-04-04 00:00:00+00:00,1
15734,eastern kentucky,hatchback,2021-04-04 00:00:00+00:00,1
15743,eastern kentucky,other,2021-04-04 00:00:00+00:00,1
